id_bien;No_voie;B_T_Q;Type_voie;Voie;Code_postal;id_codedep_codecommune;Type_local;surface_carrez;Surface_local;total_piece
12902;64;;RUE;CHARLES LAFFITTE;92200;92051;Appartement;28,73;39;1
12903;117;;RUE;DE MALABRY;92350;92060;Appartement;92,21;90;4
12904;158;;RUE;DE VERDUN;92800;92062;Appartement;36,83;36;2
12905;84;;BD;HENRI SELLIER;92150;92073;Appartement;30,04;24;1
12906;63;;RUE;DE VERDUN;92150;92073;Appartement;75,77;78;3
12907;61;;RUE;MALMAISON;93170;93006;Appartement;80,19;80;4
12908;91;;AV;JEAN JAURES;93120;93027;Appartement;24;24;1
12909;1;;IMP;PIERRE LIHOU;93800;93031;Appartement;23,16;24;1
12910;20;;RUE;LEGUILLON;93800;93031;Appartement;77,63;76;4
12911;9001;;AV;DE SAINT REMY;93200;93066;Appartement;62,15;62;4
12912;44;;RUE;GEORGES POLITZER;93200;93066;Appartement;66,53;66;3
12913;23;;ALL;DE PARIS;93400;93070;Appartement;76,95;75;3
12914;133;;AV;GILBERT BERGER;93290;93073;Appartement;69,86;70;3
12915;35;;AV;ARISTIDE BRIAND;94230;94016;Appartement;29,73;31;2
12916;73;;RUE;PASTEUR;94600;94022;Appartement;25;23;2
12917;7;;;RES DES GEMEAUX;94260;94034;Appartement;62,85;63;4
12918;11;;RUE;DES AQUEDUCS;94250;94037;Appartement;30,3;30;1
12919;7;;RUE;MERCURE;94700;94046;Appartement;81,55;83;5
12920;57;B;AV;GEORGES CLEMENCEAU;94700;94046;Appartement;66,47;69;4
12921;2;B;PL;CHARLES DIGEON;94160;94067;Appartement;75,6;77;3
12922;9;;AV;FRANCIS GARNIER;94210;94068;Appartement;26,8;30;1
12923;54;;RUE;LOUIS BRAILLE;94100;94068;Appartement;31,28;30;2
12924;12;;RUE;ROLAND ROCHE;94460;94074;Appartement;62,71;62;3
12925;150;;RUE;LOUISE AGLAE CRETTE;94400;94081;Appartement;38,35;37;2
12926;16;;AV;HENRI BARBUSSE;94400;94081;Appartement;63,04;64;4
12927;20;;RUE;DES TROIS CEDRES;95000;95127;Appartement;49,39;51;2
12928;22;;RUE;DE LA FOSSE AUX BICHES;95130;95252;Appartement;60,19;58;3
12929;1;;ALL;ALFRED DE MUSSET;95580;95369;Appartement;79,13;79;4
12930;9;;AV;DU GENERAL DE GAULLE;95310;95572;Appartement;32,8;33;1
12931;9;;RUE;EDOUARD BRANLY;95310;95572;Appartement;77,1;79;4
12932;6;;RUE;PIERRE MESTRE;95230;95598;Appartement;95,79;94;5
12933;198;;RTE;DE VOUVRAY;1200;01033;Appartement;62,38;63;3
12934;198;;RTE;DE VOUVRAY;1200;01033;Appartement;92,04;100;4
12935;5287;;;LES CHALPS;5600;05119;Appartement;16,7;17;1
12936;19;;BD;ALBERT 1ER;6600;06004;Appartement;60;53;2
12937;13;;BD;CHARLES GUILLAUMONT;6160;06004;Appartement;52,1;52;2
12938;12;;RUE;PASQUALINI;6800;06027;Appartement;36,58;34;1
12939;17;;BD;DE STRASBOURG;6400;06029;Appartement;51,26;55;2
12940;22;;PROM;MAL LECLERC HAUTECLOQUE;6500;06083;Appartement;18,92;19;1
12941;1122;;CHE;DU CHATEAU;6250;06085;Maison;80,72;82;4
12942;15;B;RUE;CHATEAUNEUF;6000;06088;Appartement;137,53;135;5
12943;14;T;AV;BORRIGLIONE;6100;06088;Appartement;80,6;35;3
12944;2;;AV;DES GOELANDS;11560;11145;Appartement;25,78;26;3
12945;195;;CHE;DES RASCOUS;13190;13002;Appartement;80,33;50;3
12946;466;;CHE;DE LA CRAIE;13190;13002;Appartement;87,24;87;4
12947;305;;CHE;ESPRIT JULIEN;13190;13002;Appartement;67,51;66;3
12948;2;;ALL;DES MICOCOULIERS;13830;13085;Appartement;58,87;59;2
12949;9001;;RES;LES ROMARINS;13470;13119;Appartement;59,92;60;3
12950;2;;RUE;JEAN FRANCOIS LECA;13002;13202;Appartement;32,06;36;1
12951;34;;RUE;SAINTE-FRANCOISE;13002;13202;Appartement;52,47;50;2
12952;58;;AV;DE LA CORSE;13007;13207;Appartement;78,14;85;3
12953;83;;BD;DU REDON;13009;13209;Appartement;37,59;52;2
12954;296;;BD;ROMAIN ROLLAND;13009;13209;Appartement;63,59;68;4
12955;20;;BD;DES ROSSIGNOLS;13012;13212;Maison;92,07;87;4
12956;20;;;ROND POINT DES MESANGES;17120;17034;Maison;63,6;60;3
